timestep,metrics,total_pos_label
40,"[('Accuracy', 0.09248554913294797), ('Precision', 0.09181141439205956), ('Recall', 0.9910714285714286), ('F1 Score', 0.1680545041635125), ('Specificity', 0.0009099181073703367), ('NPV', 0.5), ('FPR', 0.9990900818926297), ('FDR', 0.9081885856079405), ('MCC', -0.0572112118178027), ('Confusion Matrix', (1, 1098, 1, 111)), ('ROC_AUC', 0.1395586897179254), ('AUCPR', 0.05200825274227395)]",112
41,"[('Accuracy', 0.10247349823321555), ('Precision', 0.10176991150442478), ('Recall', 0.9913793103448276), ('F1 Score', 0.18459069020866775), ('Specificity', 0.000984251968503937), ('NPV', 0.5), ('FPR', 0.9990157480314961), ('FDR', 0.8982300884955752), ('MCC', -0.0551457999828902), ('Confusion Matrix', (1, 1015, 1, 115)), ('ROC_AUC', 0.02285840347542763), ('AUCPR', 0.053808598059795196)]",116
42,"[('Accuracy', 0.11188486536675951), ('Precision', 0.11105947955390334), ('Recall', 1.0), ('F1 Score', 0.1999163529903806), ('Specificity', 0.0010443864229765013), ('NPV', 1.0), ('FPR', 0.9989556135770234), ('FDR', 0.8889405204460966), ('MCC', 0.01076981952443647), ('Confusion Matrix', (2, 1913, 0, 239)), ('ROC_AUC', 0.054884909927133296), ('AUCPR', 0.059981102131216706)]",239
43,"[('Accuracy', 0.01897810218978102), ('Precision', 0.017543859649122806), ('Recall', 1.0), ('F1 Score', 0.034482758620689655), ('Specificity', 0.0014858841010401188), ('NPV', 1.0), ('FPR', 0.9985141158989599), ('FDR', 0.9824561403508771), ('MCC', 0.005105697026215995), ('Confusion Matrix', (2, 1344, 0, 24)), ('ROC_AUC', 0.408772907379891), ('AUCPR', 0.04017712549418847)]",24
44,"[('Accuracy', 0.016341923318667503), ('Precision', 0.015103838892385148), ('Recall', 1.0), ('F1 Score', 0.029758214507129573), ('Specificity', 0.0012763241863433313), ('NPV', 1.0), ('FPR', 0.9987236758136566), ('FDR', 0.9848961611076148), ('MCC', 0.004390603020654935), ('Confusion Matrix', (2, 1565, 0, 24)), ('ROC_AUC', 0.26372048500319084), ('AUCPR', 0.010528988345602706)]",24
45,"[('Accuracy', 0.005733005733005733), ('Precision', 0.004101722723543888), ('Recall', 1.0), ('F1 Score', 0.008169934640522876), ('Specificity', 0.001644736842105263), ('NPV', 1.0), ('FPR', 0.9983552631578947), ('FDR', 0.9958982772764561), ('MCC', 0.0025973552855766526), ('Confusion Matrix', (2, 1214, 0, 5)), ('ROC_AUC', 0.22615131578947373), ('AUCPR', 0.007034153247196538)]",5
46,"[('Accuracy', 0.0056179775280898875), ('Precision', 0.0028169014084507044), ('Recall', 1.0), ('F1 Score', 0.005617977528089888), ('Specificity', 0.0028169014084507044), ('NPV', 1.0), ('FPR', 0.9971830985915493), ('FDR', 0.9971830985915493), ('MCC', 0.0028169014084507044), ('Confusion Matrix', (2, 708, 0, 2)), ('ROC_AUC', 0.5471830985915493), ('AUCPR', 0.5015503875968992)]",2
47,"[('Accuracy', 0.028368794326241134), ('Precision', 0.026066350710900472), ('Recall', 1.0), ('F1 Score', 0.050808314087759814), ('Specificity', 0.0024271844660194173), ('NPV', 1.0), ('FPR', 0.9975728155339806), ('FDR', 0.9739336492890995), ('MCC', 0.00795410846866648), ('Confusion Matrix', (2, 822, 0, 22)), ('ROC_AUC', 0.15451235657546336), ('AUCPR', 0.01504514220909004)]",22
48,"[('Accuracy', 0.08067940552016985), ('Precision', 0.0767590618336887), ('Recall', 1.0), ('F1 Score', 0.1425742574257426), ('Specificity', 0.004597701149425287), ('NPV', 1.0), ('FPR', 0.9954022988505747), ('FDR', 0.9232409381663113), ('MCC', 0.01878603808208525), ('Confusion Matrix', (2, 433, 0, 36)), ('ROC_AUC', 0.23856960408684544), ('AUCPR', 0.06802508564904153)]",36
49,"[('Accuracy', 0.12184873949579832), ('Precision', 0.11814345991561181), ('Recall', 1.0), ('F1 Score', 0.21132075471698114), ('Specificity', 0.004761904761904762), ('NPV', 1.0), ('FPR', 0.9952380952380953), ('FDR', 0.8818565400843882), ('MCC', 0.023718935565494002), ('Confusion Matrix', (2, 418, 0, 56)), ('ROC_AUC', 0.01926020408163262), ('AUCPR', 0.06320529130713164)]",56
