timestep,metrics,total_pos_label
34,"[('Accuracy', 0.9281553398058252), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9281553398058252), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (478, 0, 37, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.07184466019417475)]",37
35,"[('Accuracy', 0.8642803877703207), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8642803877703207), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1159, 0, 182, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.13571961222967935)]",182
36,"[('Accuracy', 0.9806791569086651), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9806791569086651), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1675, 0, 33, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.019320843091334895)]",33
37,"[('Accuracy', 0.9196787148594378), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9196787148594378), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (458, 0, 40, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.08032128514056225)]",40
38,"[('Accuracy', 0.8531746031746031), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8531746031746031), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (645, 0, 111, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.14682539682539683)]",111
39,"[('Accuracy', 0.9315300084530854), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9315300084530854), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1102, 0, 81, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.06846999154691462)]",81
40,"[('Accuracy', 0.9075144508670521), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9075144508670521), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1099, 0, 112, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.09248554913294797)]",112
41,"[('Accuracy', 0.8975265017667845), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8975265017667845), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1016, 0, 116, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.10247349823321555)]",116
42,"[('Accuracy', 0.8890436397400185), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8890436397400185), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1915, 0, 239, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.11095636025998143)]",239
43,"[('Accuracy', 0.9824817518248176), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9824817518248176), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1346, 0, 24, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.017518248175182483)]",24
44,"[('Accuracy', 0.9849151477058454), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9849151477058454), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1567, 0, 24, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.01508485229415462)]",24
45,"[('Accuracy', 0.9959049959049959), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9959049959049959), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1216, 0, 5, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.004095004095004095)]",5
46,"[('Accuracy', 0.9971910112359551), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9971910112359551), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (710, 0, 2, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.0028089887640449437)]",2
47,"[('Accuracy', 0.9739952718676123), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9739952718676123), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (824, 0, 22, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.026004728132387706)]",22
48,"[('Accuracy', 0.9235668789808917), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9235668789808917), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (435, 0, 36, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.07643312101910828)]",36
49,"[('Accuracy', 0.8823529411764706), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8823529411764706), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (420, 0, 56, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.11764705882352941)]",56
