timestep,metrics,total_pos_label
28,"[('Accuracy', 0.9859154929577465), ('Precision', 1.0), ('Recall', 0.9529411764705882), ('F1 Score', 0.9759036144578312), ('Specificity', 1.0), ('NPV', 0.9802955665024631), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9665216037066936), ('Confusion Matrix', (199, 0, 4, 81)), ('ROC AUC', 0.9984037836240024), ('AUCPR', 0.9965203164939409)]",85
29,"[('Accuracy', 0.934412265758092), ('Precision', 0.9736842105263158), ('Recall', 0.7872340425531915), ('F1 Score', 0.8705882352941177), ('Specificity', 0.991715976331361), ('NPV', 0.9229074889867841), ('FPR', 0.008284023668639054), ('FDR', 0.02631578947368421), ('MCC', 0.8357033691851805), ('Confusion Matrix', (838, 7, 70, 259)), ('ROC AUC', 0.9860524091293323), ('AUCPR', 0.962701956065616)]",329
30,"[('Accuracy', 0.9713740458015268), ('Precision', 0.9722222222222222), ('Recall', 0.8433734939759037), ('F1 Score', 0.903225806451613), ('Specificity', 0.9954648526077098), ('NPV', 0.9712389380530974), ('FPR', 0.0045351473922902496), ('FDR', 0.027777777777777776), ('MCC', 0.8896130618146333), ('Confusion Matrix', (439, 2, 13, 70)), ('ROC AUC', 0.9693057946069994), ('AUCPR', 0.9474227421073214)]",83
31,"[('Accuracy', 0.9197183098591549), ('Precision', 0.9298245614035088), ('Recall', 0.5), ('F1 Score', 0.6503067484662577), ('Specificity', 0.9933774834437086), ('NPV', 0.9188361408882083), ('FPR', 0.006622516556291391), ('FDR', 0.07017543859649122), ('MCC', 0.6470781108909942), ('Confusion Matrix', (600, 4, 53, 53)), ('ROC AUC', 0.9455516681244533), ('AUCPR', 0.8333277999005771)]",106
32,"[('Accuracy', 0.9569160997732427), ('Precision', 0.9896907216494846), ('Recall', 0.8421052631578947), ('F1 Score', 0.909952606635071), ('Specificity', 0.9969418960244648), ('NPV', 0.9476744186046512), ('FPR', 0.0030581039755351682), ('FDR', 0.010309278350515464), ('MCC', 0.8868447203692462), ('Confusion Matrix', (978, 3, 54, 288)), ('ROC AUC', 0.9950790159224088), ('AUCPR', 0.9883351035298823)]",342
33,"[('Accuracy', 0.9841269841269841), ('Precision', 0.9444444444444444), ('Recall', 0.7391304347826086), ('F1 Score', 0.8292682926829269), ('Specificity', 0.9976076555023924), ('NPV', 0.9858156028368794), ('FPR', 0.0023923444976076554), ('FDR', 0.05555555555555555), ('MCC', 0.8278635217851293), ('Confusion Matrix', (417, 1, 6, 17)), ('ROC AUC', 0.9159558976492614), ('AUCPR', 0.8038222845855261)]",23
34,"[('Accuracy', 0.970873786407767), ('Precision', 1.0), ('Recall', 0.5945945945945946), ('F1 Score', 0.7457627118644068), ('Specificity', 1.0), ('NPV', 0.9695740365111561), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.7592782633322223), ('Confusion Matrix', (478, 0, 15, 22)), ('ROC AUC', 0.9517132194956464), ('AUCPR', 0.8841800228093568)]",37
35,"[('Accuracy', 0.9858314690529456), ('Precision', 0.9939393939393939), ('Recall', 0.9010989010989011), ('F1 Score', 0.9452449567723342), ('Specificity', 0.999137187230371), ('NPV', 0.9846938775510204), ('FPR', 0.0008628127696289905), ('FDR', 0.006060606060606061), ('MCC', 0.9386165288526561), ('Confusion Matrix', (1158, 1, 18, 164)), ('ROC AUC', 0.9969517109292778), ('AUCPR', 0.9897480897271931)]",182
36,"[('Accuracy', 0.997072599531616), ('Precision', 0.9375), ('Recall', 0.9090909090909091), ('F1 Score', 0.923076923076923), ('Specificity', 0.9988059701492538), ('NPV', 0.9982100238663485), ('FPR', 0.0011940298507462687), ('FDR', 0.0625), ('MCC', 0.9216985464575692), ('Confusion Matrix', (1673, 2, 3, 30)), ('ROC AUC', 0.9992944369063772), ('AUCPR', 0.9749950485244602)]",33
37,"[('Accuracy', 0.9578313253012049), ('Precision', 1.0), ('Recall', 0.475), ('F1 Score', 0.6440677966101694), ('Specificity', 1.0), ('NPV', 0.9561586638830898), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.6739253410760481), ('Confusion Matrix', (458, 0, 21, 19)), ('ROC AUC', 0.8725436681222708), ('AUCPR', 0.7367704847395042)]",40
38,"[('Accuracy', 0.9788359788359788), ('Precision', 1.0), ('Recall', 0.8558558558558559), ('F1 Score', 0.9223300970873786), ('Specificity', 1.0), ('NPV', 0.9757942511346445), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9138595209024553), ('Confusion Matrix', (645, 0, 16, 95)), ('ROC AUC', 0.9731894685383058), ('AUCPR', 0.9490304573170932)]",111
39,"[('Accuracy', 0.9881656804733728), ('Precision', 1.0), ('Recall', 0.8271604938271605), ('F1 Score', 0.9054054054054054), ('Specificity', 1.0), ('NPV', 0.9874551971326165), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9037609908003393), ('Confusion Matrix', (1102, 0, 14, 67)), ('ROC AUC', 0.9941072348815845), ('AUCPR', 0.9682927313786828)]",81
40,"[('Accuracy', 0.9578860445912469), ('Precision', 1.0), ('Recall', 0.5446428571428571), ('F1 Score', 0.7052023121387282), ('Specificity', 1.0), ('NPV', 0.9556521739130435), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.7214493263111295), ('Confusion Matrix', (1099, 0, 51, 61)), ('ROC AUC', 0.8502331665150137), ('AUCPR', 0.7413248270060634)]",112
41,"[('Accuracy', 0.9876325088339223), ('Precision', 1.0), ('Recall', 0.8793103448275862), ('F1 Score', 0.9357798165137614), ('Specificity', 1.0), ('NPV', 0.9864077669902913), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.9313208650797223), ('Confusion Matrix', (1016, 0, 14, 102)), ('ROC AUC', 0.9850071273418409), ('AUCPR', 0.9622711616726367)]",116
42,"[('Accuracy', 0.9712163416898792), ('Precision', 0.994413407821229), ('Recall', 0.7447698744769874), ('F1 Score', 0.8516746411483253), ('Specificity', 0.9994778067885117), ('NPV', 0.9691139240506329), ('FPR', 0.0005221932114882506), ('FDR', 0.00558659217877095), ('MCC', 0.8468193329049393), ('Confusion Matrix', (1914, 1, 61, 178)), ('ROC AUC', 0.9442673454450112), ('AUCPR', 0.8761800381375239)]",239
43,"[('Accuracy', 0.9824817518248176), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9824817518248176), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1346, 0, 24, 0)), ('ROC AUC', 0.7739598811292719), ('AUCPR', 0.052529654275684234)]",24
44,"[('Accuracy', 0.9849151477058454), ('Precision', 0.5), ('Recall', 0.041666666666666664), ('F1 Score', 0.07692307692307693), ('Specificity', 0.9993618379068283), ('NPV', 0.9855254877281309), ('FPR', 0.0006381620931716656), ('FDR', 0.5), ('MCC', 0.1411395929348034), ('Confusion Matrix', (1566, 1, 23, 1)), ('ROC AUC', 0.8008668368432248), ('AUCPR', 0.10030789875759265)]",24
45,"[('Accuracy', 0.9959049959049959), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9959049959049959), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1216, 0, 5, 0)), ('ROC AUC', 0.9233552631578947), ('AUCPR', 0.07220357709450782)]",5
46,"[('Accuracy', 0.9985955056179775), ('Precision', 1.0), ('Recall', 0.5), ('F1 Score', 0.6666666666666666), ('Specificity', 1.0), ('NPV', 0.9985935302390999), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.7066093440647031), ('Confusion Matrix', (710, 0, 1, 1)), ('ROC AUC', 0.8316901408450705), ('AUCPR', 0.504149377593361)]",2
47,"[('Accuracy', 0.9739952718676123), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9739952718676123), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (824, 0, 22, 0)), ('ROC AUC', 0.6232899382171226), ('AUCPR', 0.058107614357055866)]",22
48,"[('Accuracy', 0.9235668789808917), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9235668789808917), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (435, 0, 36, 0)), ('ROC AUC', 0.7935185185185185), ('AUCPR', 0.24988261261118147)]",36
49,"[('Accuracy', 0.8865546218487395), ('Precision', 1.0), ('Recall', 0.03571428571428571), ('F1 Score', 0.0689655172413793), ('Specificity', 1.0), ('NPV', 0.8860759493670886), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.177892016741205), ('Confusion Matrix', (420, 0, 54, 2)), ('ROC AUC', 0.9220663265306122), ('AUCPR', 0.6827908403342615)]",56
