timestep,metrics,total_pos_label
27,"[('Accuracy', 0.12135922330097088), ('Precision', 0.11330049261083744), ('Recall', 0.9583333333333334), ('F1 Score', 0.2026431718061674), ('Specificity', 0.01098901098901099), ('NPV', 0.6666666666666666), ('FPR', 0.989010989010989), ('FDR', 0.8866995073891626), ('MCC', -0.08215894184725839), ('Confusion Matrix', (2, 180, 1, 23)), ('ROC_AUC', 0.1105769230769231), ('AUCPR', 0.06844853831149908)]",24
28,"[('Accuracy', 0.30985915492957744), ('Precision', 0.302491103202847), ('Recall', 1.0), ('F1 Score', 0.4644808743169399), ('Specificity', 0.01507537688442211), ('NPV', 1.0), ('FPR', 0.9849246231155779), ('FDR', 0.697508896797153), ('MCC', 0.06752901143188417), ('Confusion Matrix', (3, 196, 0, 85)), ('ROC_AUC', 0.09825598581140998), ('AUCPR', 0.1932570279198014)]",85
29,"[('Accuracy', 0.28109028960817717), ('Precision', 0.28010247651579845), ('Recall', 0.9969604863221885), ('F1 Score', 0.43733333333333324), ('Specificity', 0.002366863905325444), ('NPV', 0.6666666666666666), ('FPR', 0.9976331360946745), ('FDR', 0.7198975234842016), ('MCC', -0.005983788409323589), ('Confusion Matrix', (2, 843, 1, 328)), ('ROC_AUC', 0.5646840884156761), ('AUCPR', 0.5727422713274009)]",329
30,"[('Accuracy', 0.16412213740458015), ('Precision', 0.15930902111324377), ('Recall', 1.0), ('F1 Score', 0.27483443708609273), ('Specificity', 0.006802721088435374), ('NPV', 1.0), ('FPR', 0.9931972789115646), ('FDR', 0.8406909788867563), ('MCC', 0.032920128151407), ('Confusion Matrix', (3, 438, 0, 83)), ('ROC_AUC', 0.10572903860339314), ('AUCPR', 0.11003854147103971)]",83
31,"[('Accuracy', 0.15352112676056337), ('Precision', 0.14992927864214992), ('Recall', 1.0), ('F1 Score', 0.2607626076260762), ('Specificity', 0.004966887417218543), ('NPV', 1.0), ('FPR', 0.9950331125827815), ('FDR', 0.8500707213578501), ('MCC', 0.027288859403799697), ('Confusion Matrix', (3, 601, 0, 106)), ('ROC_AUC', 0.340825315506685), ('AUCPR', 0.1349211159449884)]",106
32,"[('Accuracy', 0.25925925925925924), ('Precision', 0.25833333333333336), ('Recall', 0.9970760233918129), ('F1 Score', 0.41034897713598073), ('Specificity', 0.0020387359836901123), ('NPV', 0.6666666666666666), ('FPR', 0.9979612640163099), ('FDR', 0.7416666666666667), ('MCC', -0.008148192857147938), ('Confusion Matrix', (2, 979, 1, 341)), ('ROC_AUC', 0.26243956816948927), ('AUCPR', 0.2208296981248155)]",342
33,"[('Accuracy', 0.05895691609977324), ('Precision', 0.05251141552511415), ('Recall', 1.0), ('F1 Score', 0.09978308026030369), ('Specificity', 0.007177033492822967), ('NPV', 1.0), ('FPR', 0.992822966507177), ('FDR', 0.9474885844748858), ('MCC', 0.019413299255389028), ('Confusion Matrix', (3, 415, 0, 23)), ('ROC_AUC', 0.1087996671520699), ('AUCPR', 0.029545831993617853)]",23
34,"[('Accuracy', 0.07766990291262135), ('Precision', 0.072265625), ('Recall', 1.0), ('F1 Score', 0.13479052823315119), ('Specificity', 0.006276150627615063), ('NPV', 1.0), ('FPR', 0.9937238493723849), ('FDR', 0.927734375), ('MCC', 0.021296712133537062), ('Confusion Matrix', (3, 475, 0, 37)), ('ROC_AUC', 0.09323758905348865), ('AUCPR', 0.04318198458508013)]",37
35,"[('Accuracy', 0.13646532438478748), ('Precision', 0.1352765321375187), ('Recall', 0.9945054945054945), ('F1 Score', 0.2381578947368421), ('Specificity', 0.001725625539257981), ('NPV', 0.6666666666666666), ('FPR', 0.998274374460742), ('FDR', 0.8647234678624813), ('MCC', -0.027321279399533025), ('Confusion Matrix', (2, 1157, 1, 181)), ('ROC_AUC', 0.1448909158141255), ('AUCPR', 0.09654354913783761)]",182
36,"[('Accuracy', 0.02107728337236534), ('Precision', 0.01935483870967742), ('Recall', 1.0), ('F1 Score', 0.0379746835443038), ('Specificity', 0.001791044776119403), ('NPV', 1.0), ('FPR', 0.9982089552238806), ('FDR', 0.9806451612903225), ('MCC', 0.00588773154649576), ('Confusion Matrix', (3, 1672, 0, 33)), ('ROC_AUC', 0.024947987336047063), ('AUCPR', 0.010251447361153111)]",33
37,"[('Accuracy', 0.08634538152610442), ('Precision', 0.08080808080808081), ('Recall', 1.0), ('F1 Score', 0.14953271028037382), ('Specificity', 0.006550218340611353), ('NPV', 1.0), ('FPR', 0.9934497816593887), ('FDR', 0.9191919191919192), ('MCC', 0.023006750595829375), ('Confusion Matrix', (3, 455, 0, 40)), ('ROC_AUC', 0.20267467248908294), ('AUCPR', 0.11020011392758589)]",40
38,"[('Accuracy', 0.15079365079365079), ('Precision', 0.14741035856573706), ('Recall', 1.0), ('F1 Score', 0.2569444444444444), ('Specificity', 0.004651162790697674), ('NPV', 1.0), ('FPR', 0.9953488372093023), ('FDR', 0.852589641434263), ('MCC', 0.026184529301180086), ('Confusion Matrix', (3, 642, 0, 111)), ('ROC_AUC', 0.09514630909979746), ('AUCPR', 0.09572583629645806)]",111
39,"[('Accuracy', 0.06931530008453085), ('Precision', 0.06779661016949153), ('Recall', 0.9876543209876543), ('F1 Score', 0.126883425852498), ('Specificity', 0.0018148820326678765), ('NPV', 0.6666666666666666), ('FPR', 0.9981851179673321), ('FDR', 0.9322033898305084), ('MCC', -0.05288017891693755), ('Confusion Matrix', (2, 1100, 1, 80)), ('ROC_AUC', 0.22026170150792046), ('AUCPR', 0.11044553251683681)]",81
40,"[('Accuracy', 0.09331131296449216), ('Precision', 0.09188741721854304), ('Recall', 0.9910714285714286), ('F1 Score', 0.16818181818181818), ('Specificity', 0.0018198362147406734), ('NPV', 0.6666666666666666), ('FPR', 0.9981801637852593), ('FDR', 0.9081125827814569), ('MCC', -0.04142915743918571), ('Confusion Matrix', (2, 1097, 1, 111)), ('ROC_AUC', 0.3188125568698817), ('AUCPR', 0.09255328401774089)]",112
41,"[('Accuracy', 0.10159010600706714), ('Precision', 0.10097431355181577), ('Recall', 0.9827586206896551), ('F1 Score', 0.18313253012048192), ('Specificity', 0.000984251968503937), ('NPV', 0.3333333333333333), ('FPR', 0.9990157480314961), ('FDR', 0.8990256864481843), ('MCC', -0.09589855379980322), ('Confusion Matrix', (1, 1015, 2, 114)), ('ROC_AUC', 0.1366073852837361), ('AUCPR', 0.0657570912221909)]",116
42,"[('Accuracy', 0.11234911792014857), ('Precision', 0.1111111111111111), ('Recall', 1.0), ('F1 Score', 0.19999999999999998), ('Specificity', 0.001566579634464752), ('NPV', 1.0), ('FPR', 0.9984334203655353), ('FDR', 0.8888888888888888), ('MCC', 0.0131933469532722), ('Confusion Matrix', (3, 1912, 0, 239)), ('ROC_AUC', 0.16935228377595946), ('AUCPR', 0.07088725713989551)]",239
43,"[('Accuracy', 0.01970802919708029), ('Precision', 0.01755669348939283), ('Recall', 1.0), ('F1 Score', 0.03450754852624011), ('Specificity', 0.002228826151560178), ('NPV', 1.0), ('FPR', 0.9977711738484398), ('FDR', 0.9824433065106072), ('MCC', 0.006255463019160538), ('Confusion Matrix', (3, 1343, 0, 24)), ('ROC_AUC', 0.3919947994056464), ('AUCPR', 0.021458851779552802)]",24
44,"[('Accuracy', 0.01697045883092395), ('Precision', 0.015113350125944584), ('Recall', 1.0), ('F1 Score', 0.02977667493796526), ('Specificity', 0.0019144862795149968), ('NPV', 1.0), ('FPR', 0.998085513720485), ('FDR', 0.9848866498740554), ('MCC', 0.005379061391509411), ('Confusion Matrix', (3, 1564, 0, 24)), ('ROC_AUC', 0.4864390555201022), ('AUCPR', 0.02257768856383737)]",24
45,"[('Accuracy', 0.006552006552006552), ('Precision', 0.004105090311986864), ('Recall', 1.0), ('F1 Score', 0.008176614881439085), ('Specificity', 0.0024671052631578946), ('NPV', 1.0), ('FPR', 0.9975328947368421), ('FDR', 0.9958949096880131), ('MCC', 0.0031824031665458855), ('Confusion Matrix', (3, 1213, 0, 5)), ('ROC_AUC', 0.7651315789473685), ('AUCPR', 0.06105094159150975)]",5
46,"[('Accuracy', 0.007022471910112359), ('Precision', 0.0028208744710860366), ('Recall', 1.0), ('F1 Score', 0.005625879043600563), ('Specificity', 0.004225352112676056), ('NPV', 1.0), ('FPR', 0.995774647887324), ('FDR', 0.997179125528914), ('MCC', 0.0034524176899670377), ('Confusion Matrix', (3, 707, 0, 2)), ('ROC_AUC', 0.48802816901408447), ('AUCPR', 0.01658623538107039)]",2
47,"[('Accuracy', 0.02955082742316785), ('Precision', 0.02609727164887307), ('Recall', 1.0), ('F1 Score', 0.05086705202312139), ('Specificity', 0.0036407766990291263), ('NPV', 1.0), ('FPR', 0.9963592233009708), ('FDR', 0.9739027283511269), ('MCC', 0.009747529867994788), ('Confusion Matrix', (3, 821, 0, 22)), ('ROC_AUC', 0.5473300970873787), ('AUCPR', 0.1374510197698664)]",22
48,"[('Accuracy', 0.07855626326963906), ('Precision', 0.07478632478632478), ('Recall', 0.9722222222222222), ('F1 Score', 0.13888888888888887), ('Specificity', 0.004597701149425287), ('NPV', 0.6666666666666666), ('FPR', 0.9954022988505747), ('FDR', 0.9252136752136753), ('MCC', -0.077415369728181), ('Confusion Matrix', (2, 433, 1, 35)), ('ROC_AUC', 0.5791826309067688), ('AUCPR', 0.3015386695972223)]",36
49,"[('Accuracy', 0.12394957983193278), ('Precision', 0.11839323467230443), ('Recall', 1.0), ('F1 Score', 0.21172022684310018), ('Specificity', 0.007142857142857143), ('NPV', 1.0), ('FPR', 0.9928571428571429), ('FDR', 0.8816067653276956), ('MCC', 0.029080336345115265), ('Confusion Matrix', (3, 417, 0, 56)), ('ROC_AUC', 0.3488520408163266), ('AUCPR', 0.31292663282656186)]",56
